Score,Summary,Text
5,Works Great With My Cat,"I've had several cats, most of which didn't have much of a hairball problem.  However, the cat I have now, has hocked up some epic hairballs. She's the best cat I've ever had, except for this one nasty problem.<br /><br />So, I bought a small bag of this hairball control from my vet, tried it, and it does seem to have had an effect on my cat's massive hairball problem.  In fact, after about a month of mixing this with her other food, I've noticed that she's only thrown up once or twice, and that's certainly not as much as she did before.<br /><br />I found this bag on Amazon for quite a bit less than what my vet charged, so I'll continue to order it here. Based on what I've observed with my cat so far, I would highly recommend this for those of you who have cats with the same problem."
5,"Great cat food, great value",I adopted my cat from a shelter and this is the type of food they fed him and urged me to continue feeding him. He absolutely loves it and I won't be changing brands or food anytime soon. It seems to be a very high quality dry cat food and it's definitely one that my cat loves. The big bag of food is great especially if you have large Rubbermaid (etc) containers to store it in so it doesn't get stale. I'm very happy with this food and I'm very glad the shelter (and my vet) ended up recommending it. My cat is happy and I'm happy knowing he is being fed appropriately with high quality food that is helping him stay healthy.
5,cat food,"its cat food that was offered at a good price...and being a premier member, i got free speedy shipping.  cat food starts out hard when it enters the cat.  it exits the kitty as a soft item a day later, minus nutrients/vitamins (hopefully)."
5,Thank God I found this food!,"We have 2 cats, one of which started having stomach issues about a month after she traveled eight hours and moved into our house. We thought it might be the stress of the drive, the change to a new habitat and a new cat friend. She was throwing up frequently and also having issues on the other end - I won't get into the gross details. A trip to the vet got her some antibiotics that helped for a short time, but she was back to being miserable, and obviously uncomfortable with using her litter box, not two weeks after seeing the vet. Since we found this food and transitioned her on to it, she hasn't thrown up. Her other issues have cleared up too and she is feeling healthy and happy again. So I'll say it again: thank goodness for this food!!!"
5,Best for Dental Health,"The vet showed me that my 14-year-old cat's teeth and gums were in bad shape. Her teeth were stained and layered with plaque. Her guns were bright red along the edges. She had Gingivitis. I was facing a $300+ teeth cleaning bill for the cat. The vet recommended I try Hill's Dental Diet first. After two months of eating it, the cat returned to the vet. The large, hard nuggets had cleaned the plaque from her teeth. Her gums were no longer red, but pink and healthy. Hill's did what was needed. I am thrilled with the results.<br /><br />Yes, this food is expensive, but so is a teeth cleaning bill for a cat, as well as dental problems if you don't. Once my cat's mouth improved, I cut back on the Hill's. I feed my cat a main diet of Purina dry, but I still give her 8-10 Hill's nuggets a day. She's been on this mixed diet for one year and her teeth and gums are still good and healthy. The Hill's large nuggets act like a tooth brush that scrapes against the cat's teeth.<br /><br />Pound per pound this cat food is actually less expensive than those little bags of tarter control cat treats you buy in the supermarket. Once you get control over your cat's dental problems you can maintain her by giving her several Hill's Dental Diet nuggets a day. If your cat has no problems yet, consider giving her a small handful of Hill's Dental nuggets to ward off any future problems. This stuff works!"
5,Can't live without this cat food,Have been using this cat food now for a few years after the vet recommended dental cleaning (very expensive & put them under anesthesia - no way!).  Our cat is healthy and her teeth seem to be in good condition.  She loves the taste and size.  She won't eat any small food anymore (I have tried some samples) and actually eats all the Science Diet and leaves the small ones for me to discard.  It's a bit pricey but I would recommend it.
3,Meh,"I bought this for my cat, who suddenly started vomiting on a daily basis. No rhyme or reason for it either, not hairballs, or some kind of illness. This didn't help the vomiting issue and considering the cost of the food and composition, I've since switched her to a product richer in proteins that costs a similar amount and actually seems to have quickly cleared up the problem."
5,The only thing all my cats will eat!,"I have three very different cats, with very different tastes. The Science Diet adult hairball formula is one all three will eat without a fuss. They really like the taste, and have been eating it for years. Plus, it really works to prevent hairballs! I've tried many different brands, but I always come back to this one because I know it's high quality and they will eat it. If they ever stop making this particular one I'm in trouble, they don't seem to like the other Science Diet kinds!"
3,Way more expensive per pound than the larger-sized bags of the same food,"I posted my review for the quality of this cat food here: <a href=""http://www.amazon.com/gp/product/B003MWBFXY"">Hill's Science Diet Adult Sensitive Stomach Dry Cat Food - 15.5-Pound Bag</a>, which is the same food as this but in a larger bag.  Here, I just wanted to point out that this smaller size bag is actually much more expensive.  As of the date I'm writing this, this 3.5-pound bag costs $3.71 per pound, whereas the 7-pound bag costs $3.50 per pound and the 15.5-pound bag costs $2.32 per pound.  So you pay over 50% more per pound for this size compared with the largest size.  Just wanted to point this out in case it could save anyone money!  I like the cat food a lot."
4,Has mostly cleared up our vomiting problem,"My 5-year-old kitty has always eaten Science Diet (first the kitten formula, then the Adult Indoor formula), and has always been very healthy with a gorgeous coat and lots of energy.  A couple of years ago she started vomiting after meals about once a week.  The vet said there was nothing wrong and she was probably just eating too fast.  We immediately switched over to this Sensitive Stomach version and the vomiting frequency decreased dramatically.  Now she vomits only once every two or three months.  I'm skeptical that there is anything really different about this food, and it could have just been a coincidence that she stopped vomiting after we switched.  Still, I'd rather just stick with this kind than find out.  I took away one star because it is, in my opinion, unreasonably expensive."
