Term,LoanStatusCode,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),OccupationCode,EmploymentCode,EmploymentStatusDuration,IsBorrowerHomeownerCode,CurrentlyInGroupCode,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeLevel,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanQuarter,LoanYear,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
36,0,0.16516,0.158,0.138,,,,,,0,0,8,2,1,1,640,659,37175,5,4,12,1,24,3,3,2,472,4,0,0,0,0,1500,11,0.81,0,0.17,3,3083.333333,,,,,,,,,0,,78,19141,9425,39337,3,2007,330.43,11396.14,9425,1971.14,-133.18,0,0,0,0,1,0,0,0,258
36,0,0.28269,0.275,0.24,,,,,,0,0,3,,0,1,480,499,37464,,,3,0,0,0,1,1,,0,0,,,,,,,,0.06,6,2083.333333,,,,,,,,,0,,86,6466,3001,39099,1,2014,318.93,0,0,0,0,0,0,0,0,1,0,0,0,1
36,0,0.12782,0.0999,0.0899,0.0897,0.038,0.0517,6,9,20,0,1,44,0,0,740,759,32295,4,4,19,4,105,0,0,1,42488,10,1,0,4307,0.13,25779,18,0.72,1,0.11,3,3750,,,,,,,,,0,,25,60054,10000,40946,1,2007,123.32,4186.63,3001,1185.63,-24.2,0,0,0,0,1,0,0,0,41
36,0,0.08191,0.0785,0.0685,0.0555,0.013,0.0555,7,10,7,0,1,7,0,0,760,779,37956,6,3,17,3,58,0,3,0,0,0,1,0,41,0.01,3859,14,0.92,0,0.05,2,13083.33333,1,8,8,0,0,4000,0.01,161,0,,41,44987,16000,40477,4,2012,321.45,5143.2,4091.09,1052.11,-108.01,0,0,0,0,1,0,0,0,158
36,1,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1,5,13,0,5,121,1,0,700,719,36227,10,9,18,5,300,0,1,0,0,0,1,0,9103,0.97,178,17,0.94,0,0.49,4,5500,,,,,,,,,140,8,23,63982,4000,41018,3,2013,563.97,2819.85,1563.22,1256.63,-60.27,0,0,0,0,1,0,0,0,20
36,2,0.35356,0.3134,0.3034,0.276,0.1575,0.1185,1,2,1,0,5,68,0,0,700,719,32203,9,9,18,8,617,0,0,0,0,0,1,0,10050,0.4,4465,17,0.76,0,9.2,1,118.333333,,,,,,,,,0,,13,84693,4000,41310,4,2013,342.37,679.34,351.89,327.45,-25.33,0,0,0,0,1,0,0,0,1
36,2,0.19859,0.162,0.152,0.14256,0.0649,0.07766,4,5,1,0,1,91,1,0,660,679,34457,10,8,51,5,81,3,10,0,0,8,1,0,1349,0.17,4770,47,0.91,3,0.16,3,2333.333333,,,,,,,,,0,,3,122689,4000,41626,2,2013,122.67,1226.7,604.25,622.45,-22.95,0,0,0,0,1,0,0,0,1
36,2,0.15223,0.1239,0.1139,0.109,0.0399,0.0691,6,6,1,0,1,16,1,0,740,759,26999,24,21,50,13,533,2,12,0,0,0,1,0,17451,0.34,24401,47,0.97,2,0.32,2,10416.66667,,,,,,,,,0,,2,127405,35000,41655,2,2013,372.6,3353.4,1955.89,1397.51,-69.21,0,0,0,0,1,0,0,0,1
36,2,0.35797,0.3177,0.3077,0.2896,0.1625,0.1271,1,5,2,0,5,44,0,0,680,699,28976,0,0,21,0,0,0,0,0,0,27,1,0,0,0,0,20,0.6,0,0.04,3,2250,,,,,,,,,0,,18,75030,2000,41179,4,2013,305.54,611.08,505.58,105.5,-16.77,0,0,0,0,1,0,0,0,1
36,2,0.0893,0.0759,0.0659,0.0647,0.0149,0.0498,7,9,1,0,5,539,1,0,800,819,27719,19,18,39,19,634,1,2,0,0,0,0,0,14038,0.1,90784,35,0.97,1,0.14,4,6000,,,,,,,,,0,,7,100006,7000,41508,4,2013,305.54,611.08,505.58,105.5,-16.77,0,0,0,0,1,0,0,0,1
